indicator_id;strand_id;indicator_code;indicator_text
405201;405002;SCI_TECH_IND_2_1;Ability to describe the properties of the three states of matter.
405202;405002;SCI_TECH_IND_2_2;Ability to manage solid waste in the environment.
405203;405002;SCI_TECH_IND_2_3;Ability to outline the importance of conserving water at home and school.
405301;405003;SCI_TECH_IND_3_1;Ability to demonstrate the effects of force on objects in nature.
405302;405003;SCI_TECH_IND_3_2;Ability to identify sources of light in nature.
405303;405003;SCI_TECH_IND_3_3;Ability to explain the use of light in day-to-day life.
405304;405003;SCI_TECH_IND_3_4;Ability to demonstrate uses of heat in day-to-day life.
405305;405003;SCI_TECH_IND_3_5;Ability to describe safety measures when using heat.
406101;406001;MATH_IND_1_1;Ability to use place value and total value of numbers up to tens of thousands.
406102;406001;MATH_IND_1_2;Ability to read and write numbers in symbols and words.
406103;406001;MATH_IND_1_3;Ability to order and round off numbers up to 1000.
406104;406001;MATH_IND_1_4;Ability to identify factors and multiples of numbers up to 50.
406105;406001;MATH_IND_1_5;Ability to make patterns involving even and odd numbers up to 100.
406106;406001;MATH_IND_1_6;Ability to represent Hindu Arabic numerals using Roman numerals up to 'X'.
406107;406001;MATH_IND_1_7;Ability to add up to two 4-digit numbers with single and double regrouping.
406108;406001;MATH_IND_1_8;Ability to create patterns involving addition, subtraction and multiplication.
406109;406001;MATH_IND_1_9;Ability to subtract up to two 4-digit numbers with single and double regrouping.
406110;406001;MATH_IND_1_10;Ability to multiply up to a two-digit number by a two-digit number with and without regrouping.
406111;406001;MATH_IND_1_11;Ability to divide up to a two-digit number by a one-digit number with and without remainder.
406112;406001;MATH_IND_1_12;Ability to identify different types of fractions.
406113;406001;MATH_IND_1_13;Ability to convert improper fractions to mixed fractions and mixed fractions to improper fractions.
406114;406001;MATH_IND_1_14;Ability to identify a tenth or a hundredth in a decimal number.
406201;406002;MATH_IND_2_1;Ability to estimate and measure length in centimetres.
406202;406002;MATH_IND_2_2;Ability to establish the relationship between metres and centimetres.
406203;406002;MATH_IND_2_3;Ability to convert centimetres to metres and metres to centimetres.
406204;406002;MATH_IND_2_4;Ability to add, subtract, multiply and divide length in centimetres and metres.
406205;406002;MATH_IND_2_5;Ability to calculate the area of squares and rectangles as a product of number of rows and columns.
406206;406002;MATH_IND_2_6;Ability to work out the volume of cubes and cuboids by piling blocks.
406207;406002;MATH_IND_2_7;Ability to measure, add and subtract capacity in litres.
406208;406002;MATH_IND_2_8;Ability to measure, add and subtract mass of different objects in kilograms.
406209;406002;MATH_IND_2_9;Ability to read, tell and estimate time in a.m. and p.m.
406210;406002;MATH_IND_2_10;Ability to work out addition and subtraction involving units of time.
406211;406002;MATH_IND_2_11;Ability to convert shillings to cents and cents to shillings.
406212;406002;MATH_IND_2_12;Ability to work out the total cost of items in the shopping list of not more than ten thousand shillings.
406301;406003;MATH_IND_3_1;Ability to demonstrate a clockwise and an anti-clockwise turn in the environment.
406302;406003;MATH_IND_3_2;Ability to demonstrate a quarter turn, half turn and full turn in the environment.
406303;406003;MATH_IND_3_3;Ability to identify angles from the objects in the environment.
406304;406003;MATH_IND_3_4;Ability to draw the shapes of rectangles, squares, triangles, circles and ovals.
406305;406003;MATH_IND_3_5;Ability to make patterns using squares, rectangles and triangles.
406306;406003;MATH_IND_3_6;Ability to identify properties of triangles, squares and rectangles.
406401;406004;MATH_IND_4_1;Ability to identify and collect data of at most 10 items.
406402;406004;MATH_IND_4_2;Ability to record and interpret the raw data from the table.
407101;407001;REL_CRE_IND_1_1;Ability to make right choices in day-to-day life
407102;407001;REL_CRE_IND_1_2;Ability to list three attributes of God
407201;407002;REL_CRE_IND_2_1;Ability to retell Bible stories
407202;407002;REL_CRE_IND_2_2;Ability to list lessons learnt from the Bible stories
407203;407002;REL_CRE_IND_2_3;Ability to apply lessons learnt from the Bible stories in daily life
407301;407003;REL_CRE_IND_3_1;Ability to retell the annunciation of the birth of Jesus Christ
407302;407003;REL_CRE_IND_3_2;Ability to retell the birth of John the Baptist
407303;407003;REL_CRE_IND_3_3;Ability to retell three miracles performed by Jesus Christ
407304;407003;REL_CRE_IND_3_4;Ability to list lessons learnt from the miracles of Jesus Christ
407305;407003;REL_CRE_IND_3_5;Ability to apply lessons learnt from the teachings of Jesus Christ in daily life
407401;407004;REL_CRE_IND_4_1;Ability to explain how Christian values enhance harmonious co-existence
407402;407004;REL_CRE_IND_4_2;Ability to apply acquired Christian values in day-to-day life
407501;407005;REL_CRE_IND_5_1;Ability to participate in church activities
407502;407005;REL_CRE_IND_5_2;Ability to list the 12 disciples of Jesus Christ
407503;407005;REL_CRE_IND_5_3;Ability to recite the Lord's Prayer and pray for others
407504;407005;REL_CRE_IND_5_4;Ability to utilise the fruit of the Holy Spirit in making right decisions
407601;407006;REL_CRE_IND_6_1;Ability to use social media responsibly
408101;408001;REL_IRE_IND_1_1;Ability to read and recite seven selected surahs
408102;408001;REL_IRE_IND_1_2;Ability to explain the basic meaning of the selected surahs
408201;408002;REL_IRE_IND_2_1;Ability to read the selected hadith
408202;408002;REL_IRE_IND_2_2;Ability to deduce the teachings from the selected hadith
408301;408003;REL_IRE_IND_3_1;Ability to identify and use the attributes of Allah in supplication
408302;408003;REL_IRE_IND_3_2;Ability to apply the virtues of the prophets in day-to-day life
408401;408004;REL_IRE_IND_4_1;Ability to perform swalah while adhering to all its rules
408501;408005;REL_IRE_IND_5_1;Ability to assess the significance of kindness to Allah's creatures and Islamic code of dressing and uphold positive use of media
408502;408005;REL_IRE_IND_5_2;Ability to describe the evils of begging
408601;408006;REL_IRE_IND_6_1;Ability to uphold obligations to family members
408701;408007;REL_IRE_IND_7_1;Ability to describe the events of Prophet's mission in Makkah
409101;409001;REL_HIN_IND_1_1;Ability to state water bodies that are considered sacred as mentioned in the Scriptures
409102;409001;REL_HIN_IND_1_2;Ability to identify the role of water in our daily lives
409103;409001;REL_HIN_IND_1_3;Ability to specify the names of plants that are considered sacred in each faith
409201;409002;REL_HIN_IND_2_1;Ability to identify the contributions of Enlightened Beings
409202;409002;REL_HIN_IND_2_2;Ability to implement teachings of Enlightened Beings
409301;409003;REL_HIN_IND_3_1;Ability to explain the lessons learnt from the Scriptures
409302;409003;REL_HIN_IND_3_2;Ability to apply the teachings of the Scriptures
409401;409004;REL_HIN_IND_4_1;Ability to recite prayers
409402;409004;REL_HIN_IND_4_2;Ability to identify prayers performed for different occasions
409501;409005;REL_HIN_IND_5_1;Ability to state the importance of integrity in their daily lives
409502;409005;REL_HIN_IND_5_2;Ability to identify elements of integrity among peers and in society
409503;409005;REL_HIN_IND_5_3;Ability to state all ideal practices of a passenger during boarding and alighting for safety
409601;409006;REL_HIN_IND_6_1;Ability to name the types of Pranayam
409602;409006;REL_HIN_IND_6_2;Ability to display simple body postures
409701;409007;REL_HIN_IND_7_1;Ability to identify Principles of Dharma according to Sanatan/Vedic
409801;409008;REL_HIN_IND_8_1;Ability to identify the rites and rituals during the celebration of different festivals
409802;409008;REL_HIN_IND_8_2;Ability to relate the days of the week with the corresponding planets
410101;410001;CRE_ARTS_IND_1_1;Ability to create and/or execute various Creative Arts tasks such as rhythmic patterns, drawings, paintings, Netball skills, montages, clay modelling, and simple melodies.
410201;410002;CRE_ARTS_IND_2_1;Ability to perform and/or display Creative Arts skills such as recorder melodies, photography techniques, athletic techniques, various songs, and aquatic or animal-based games.
410301;410003;CRE_ARTS_IND_3_1;Ability to display, critique, participate in, or analyse various Creative Arts items such as drawings, paintings, photographs, Kenyan folk arts, sports activities, and cultural expressions.
412101;412001;SOC_STUD_IND_1_1;Ability to use the four cardinal points to give direction of places.
412102;412001;SOC_STUD_IND_1_2;Ability to identify the main physical features in the county.
412103;412001;SOC_STUD_IND_1_3;Ability to explain how the four seasons influence human activities in the county.
412104;412001;SOC_STUD_IND_1_4;Ability to explain the importance of the main historic built environments in the county.
412201;412002;SOC_STUD_IND_2_1;Ability to explain the benefits of interdependence of people in the county.
412202;412002;SOC_STUD_IND_2_2;Ability to describe patterns of population distribution in the county.
412301;412003;SOC_STUD_IND_3_1;Ability to identify the six aspects of traditional culture in the county.
412302;412003;SOC_STUD_IND_3_2;Ability to describe aspects of traditional culture in the county.
412303;412003;SOC_STUD_IND_3_3;Ability to narrate the history of the school.
412401;412004;SOC_STUD_IND_4_1;Ability to explain the importance of economic activities carried out in the county.
412402;412004;SOC_STUD_IND_4_2;Ability to identify industries in the county.
412403;412004;SOC_STUD_IND_4_3;Ability to identify the projects that can be initiated at school.
412501;412005;SOC_STUD_IND_5_1;Ability to identify qualities of good citizenship in school.
412502;412005;SOC_STUD_IND_5_2;Ability to develop strategies of living in peace with others in school.
412503;412005;SOC_STUD_IND_5_3;Ability to explain effects of the seven forms of child abuse in the community.
412504;412005;SOC_STUD_IND_5_4;Ability to identify democratic processes in school.
412505;412005;SOC_STUD_IND_5_5;Ability to describe the functions of the Children’s Government in school.
412506;412005;SOC_STUD_IND_5_6;Ability to demonstrate qualities of good leadership in the community.
412507;412005;SOC_STUD_IND_5_7;Ability to explain the roles of a member of county assembly.
501101;501001;ENG_IND_1_1;Ability to listen actively to a variety of oral texts to gain information.
501102;501001;ENG_IND_1_2;Ability to listen and participate actively in conversations in various settings for self-expression and effective communication.
501103;501001;ENG_IND_1_3;Ability to speak accurately with expression and at the right speed, with minimum hesitation for fluency in communication.
501201;501002;ENG_IND_2_1;Ability to read about 300 words fluently and accurately, at the right speed and with expression for effective communication.
501202;501002;ENG_IND_2_2;Ability to read grade-appropriate visuals, print and digital texts for comprehension and information.
501203;501002;ENG_IND_2_3;Ability to read a variety of grade-appropriate visual, digital and print texts for lifelong learning.
501301;501003;ENG_IND_3_1;Ability to use grammatical forms to communicate ideas, opinions and emotions appropriately in different settings for effective communication.
501401;501004;ENG_IND_4_1;Ability to use punctuation, paragraphing and spelling correctly for effective communication.
501402;501004;ENG_IND_4_2;Ability to write a variety of writings using the correct formats for effective communication.
501403;501004;ENG_IND_4_3;Ability to write creative works clearly and expressively for effective communication.
502101;502001;KIS_KSL_IND_1_1;Kuweza kuwasiliana kwa matamshi bora (Matamshi ya sauti zinazokaribiana: p/b, t/d, k/g, ch/j)
502102;502001;KIS_KSL_IND_1_2;Kuweza kuzungumza kwa ufasaha (Kwa kutumia maneno ya upole na mazungumzo ya kimikakati)
502103;502001;KIS_KSL_IND_1_3;Kuweza kusikiliza na kujibu ipasavyo (Maamkizi na maagano, ushairi, masimulizi)
502104;502001;KIS_KSL_IND_1_4;Kuweza kutumia lugha kiubunifu (Vitendawili, methali, nahau, visawe, tashbihi)
502201;502002;KIS_KSL_IND_2_1;Kuweza kusoma kwa ufasaha (Ulumbi, umbo, wahusika, matumizi ya msamiati mwafaka, kutoa muhtasari)
502202;502002;KIS_KSL_IND_2_2;Kuweza kusoma kwa kina. (Matumizi ya kamusi: mpangilio na maana za maneno)
502203;502002;KIS_KSL_IND_2_3;Kuweza kusoma kwa ufasaha. (Matamshi bora, kiwango kifaaacho cha sauti, kasi ifaayo, ishara zifaazo)
502204;502002;KIS_KSL_IND_2_4;Kuweza kusoma kwa mapana. (Kutambua na kuchagua matini ya kusoma, kutambua ujumbe na matumizi ya lugha)
502205;502002;KIS_KSL_IND_2_5;Kuweza kusoma kidijitali. (Kufungua faili ya kidijitali, matumizi ya vifaa vya kidijitali, kukarakana kwenye tovuti, volumu, kuchagua na kusoma matini, kutambua ujumbe na matumizi ya lugha.)
502301;502003;KIS_KSL_IND_3_1;Kuweza kuandika aina mbalimbali za insha (wasifu, masimulizi, maelezo na barua ya kirafiki) kwa kuzingatia vipengele vifuatavyo: muundo, ujumbe, mtindo na kanuni zifaazo za uandishi.
502302;502003;KIS_KSL_IND_3_2;Kuweza kuandika kwa tarakilishi. (Sehemu za tarakilishi, kufungua na kufunga tarakilishi, kuhifadhi).
502401;502004;KIS_KSL_IND_4_1;Kuweza kutambua na kutumia vinyume vya maneno na kuvitumia katika matini.
502402;502004;KIS_KSL_IND_4_2;Kuweza kutambua na kutumia viambishi vya nyakati katika vitenzi. (Wakati uliopita, uliopo na ujao)
502403;502004;KIS_KSL_IND_4_3;Kuweza kutambua maneno yaliyokanushwa, viambishi vya ukanushaji na kukanusha maneno ipasavyo. (Wakati uliopita, uliopo na ujao)
502404;502004;KIS_KSL_IND_4_4;Kuweza kutambua na kutumia aina mbalimbali za maneno katika lugha ya Kiswahili. (Vitenzi, viwakilishi, vielezi, viunganishi, vihusishi na vihisishi)
502405;502004;KIS_KSL_IND_4_5;Kuweza kutambua viambishi vya ngeli, nomino za ngeli na kutumia upatanisho wa kisarufi ipasavyo. (A-WA, U-I, KI-VI, LI-YA na LI-LI)
502406;502004;KIS_KSL_IND_4_6;Kuweza kutambua na kutumia vitenzi katika kauli mbalimbali. (kauli ya kutenda, kutendea na kutendwa)
504101;504001;AGRI_IND_1_1;Ability to explain conservation of resources of four resources in the environment (soil, water, fuel, wild animals).
504102;504001;AGRI_IND_1_2;Ability to conserve four resources in the environment (soil, water, fuel, wild animals).
504103;504001;AGRI_IND_1_3;Ability to show four aspects of responsibility in conservation of environmental resources (offers leadership, observes safety, shows initiative, shows dutifulness in tasks).
504201;504002;AGRI_IND_2_1;Ability to describe food production processes at household level (direct sowing of seeds, growing of fruits, uses of domestic animals, balanced diet, boiling and shallow frying).
504202;504002;AGRI_IND_2_2;Ability to carry out various food production processes at household level (direct sowing of seeds, growing of fruits, uses of domestic animals, balanced diet, boiling and shallow frying).
504203;504002;AGRI_IND_2_3;Ability to exhibit integrity in carrying out food production processes (utilising resources prudently, is accountable, shows honesty, applies ethically acceptable procedures).
504301;504003;AGRI_IND_3_1;Ability to describe practices that promote hygiene (personal hygiene, domestic hygiene and cleaning personal protective equipment).
504302;504003;AGRI_IND_3_2;Ability to apply health practices to promote hygiene (personal hygiene, domestic hygiene and cleaning personal protective equipment).
504303;504003;AGRI_IND_3_3;Ability to exhibit responsibility while undertaking health practices that promote hygiene (respects other learners’ property, offers leadership, accepts consequences, cares for property).
504401;504004;AGRI_IND_4_1;Ability to use tacking stitches in making an item (makes appropriate choice of stitch, makes the stitch, ensures evenness of the stitch and firmness of stitch to the purpose).
504402;504004;AGRI_IND_4_2;Ability to work in unity in making an item (sharing resources, working in teams, appreciating efforts of others, respects others’ opinions).
505101;505001;SCI_TECH_IND_1_1;Ability to identify characteristics of plants and animals.
505102;505001;SCI_TECH_IND_1_2;Ability to describe functions of external parts of a plant.
505103;505001;SCI_TECH_IND_1_3;Ability to identify parts of the human digestive system.
505104;505001;SCI_TECH_IND_1_4;Ability to develop a plan of maintaining a healthy human digestive system.
505201;505002;SCI_TECH_IND_2_1;Ability to describe the properties of the three states of matter.
505202;505002;SCI_TECH_IND_2_2;Ability to manage solid waste in the environment.
505203;505002;SCI_TECH_IND_2_3;Ability to outline the importance of conserving water at home and school.
505301;505003;SCI_TECH_IND_3_1;Ability to demonstrate the effects of force on objects in nature.
505302;505003;SCI_TECH_IND_3_2;Ability to identify sources of light in nature.
505303;505003;SCI_TECH_IND_3_3;Ability to explain the use of light in day-to-day life.
505304;505003;SCI_TECH_IND_3_4;Ability to demonstrate uses of heat in day-to-day life.
505305;505003;SCI_TECH_IND_3_5;Ability to describe safety measures when using heat.
506101;506001;MATH_IND_1_1;Ability to use place value and total value of numbers up to tens of thousands.
506102;506001;MATH_IND_1_2;Ability to read and write numbers in symbols and words.
506103;506001;MATH_IND_1_3;Ability to order and round off numbers up to 1000.
506104;506001;MATH_IND_1_4;Ability to identify factors and multiples of numbers up to 50.
506105;506001;MATH_IND_1_5;Ability to make patterns involving even and odd numbers up to 100.
506106;506001;MATH_IND_1_6;Ability to represent Hindu Arabic numerals using Roman numerals up to 'X'.
506107;506001;MATH_IND_1_7;Ability to add up to two 4-digit numbers with single and double regrouping.
506108;506001;MATH_IND_1_8;Ability to create patterns involving addition, subtraction and multiplication.
506109;506001;MATH_IND_1_9;Ability to subtract up to two 4-digit numbers with single and double regrouping.
506110;506001;MATH_IND_1_10;Ability to multiply up to a two-digit number by a two-digit number with and without regrouping.
506111;506001;MATH_IND_1_11;Ability to divide up to a two-digit number by a one-digit number with and without remainder.
506112;506001;MATH_IND_1_12;Ability to identify different types of fractions.
506113;506001;MATH_IND_1_13;Ability to convert improper fractions to mixed fractions and mixed fractions to improper fractions.
506114;506001;MATH_IND_1_14;Ability to identify a tenth or a hundredth in a decimal number.
506201;506002;MATH_IND_2_1;Ability to estimate and measure length in centimetres.
506202;506002;MATH_IND_2_2;Ability to establish the relationship between metres and centimetres.
506203;506002;MATH_IND_2_3;Ability to convert centimetres to metres and metres to centimetres.
506204;506002;MATH_IND_2_4;Ability to add, subtract, multiply and divide length in centimetres and metres.
506205;506002;MATH_IND_2_5;Ability to calculate the area of squares and rectangles as a product of number of rows and columns.
506206;506002;MATH_IND_2_6;Ability to work out the volume of cubes and cuboids by piling blocks.
506207;506002;MATH_IND_2_7;Ability to measure, add and subtract capacity in litres.
506208;506002;MATH_IND_2_8;Ability to measure, add and subtract mass of different objects in kilograms.
506209;506002;MATH_IND_2_9;Ability to read, tell and estimate time in a.m. and p.m.
506210;506002;MATH_IND_2_10;Ability to work out addition and subtraction involving units of time.
506211;506002;MATH_IND_2_11;Ability to convert shillings to cents and cents to shillings.
506212;506002;MATH_IND_2_12;Ability to work out the total cost of items in the shopping list of not more than ten thousand shillings.
506301;506003;MATH_IND_3_1;Ability to demonstrate a clockwise and an anti-clockwise turn in the environment.
506302;506003;MATH_IND_3_2;Ability to demonstrate a quarter turn, half turn and full turn in the environment.
506303;506003;MATH_IND_3_3;Ability to identify angles from the objects in the environment.
506304;506003;MATH_IND_3_4;Ability to draw the shapes of rectangles, squares, triangles, circles and ovals.
506305;506003;MATH_IND_3_5;Ability to make patterns using squares, rectangles and triangles.
506306;506003;MATH_IND_3_6;Ability to identify properties of triangles, squares and rectangles.
506401;506004;MATH_IND_4_1;Ability to identify and collect data of at most 10 items.
506402;506004;MATH_IND_4_2;Ability to record and interpret the raw data from the table.
507101;507001;REL_CRE_IND_1_1;Ability to make right choices in day-to-day life
507102;507001;REL_CRE_IND_1_2;Ability to list three attributes of God
507201;507002;REL_CRE_IND_2_1;Ability to retell Bible stories
507202;507002;REL_CRE_IND_2_2;Ability to list lessons learnt from the Bible stories
507203;507002;REL_CRE_IND_2_3;Ability to apply lessons learnt from the Bible stories in daily life
507301;507003;REL_CRE_IND_3_1;Ability to retell the annunciation of the birth of Jesus Christ
507302;507003;REL_CRE_IND_3_2;Ability to retell the birth of John the Baptist
507303;507003;REL_CRE_IND_3_3;Ability to retell three miracles performed by Jesus Christ
507304;507003;REL_CRE_IND_3_4;Ability to list lessons learnt from the miracles of Jesus Christ
507305;507003;REL_CRE_IND_3_5;Ability to apply lessons learnt from the teachings of Jesus Christ in daily life
507401;507004;REL_CRE_IND_4_1;Ability to explain how Christian values enhance harmonious co-existence
507402;507004;REL_CRE_IND_4_2;Ability to apply acquired Christian values in day-to-day life
507501;507005;REL_CRE_IND_5_1;Ability to participate in church activities
507502;507005;REL_CRE_IND_5_2;Ability to list the 12 disciples of Jesus Christ
507503;507005;REL_CRE_IND_5_3;Ability to recite the Lord's Prayer and pray for others
507504;507005;REL_CRE_IND_5_4;Ability to utilise the fruit of the Holy Spirit in making right decisions
507601;507006;REL_CRE_IND_6_1;Ability to use social media responsibly
508101;508001;REL_IRE_IND_1_1;Ability to read and recite seven selected surahs
508102;508001;REL_IRE_IND_1_2;Ability to explain the basic meaning of the selected surahs
508201;508002;REL_IRE_IND_2_1;Ability to read the selected hadith
508202;508002;REL_IRE_IND_2_2;Ability to deduce the teachings from the selected hadith
508301;508003;REL_IRE_IND_3_1;Ability to identify and use the attributes of Allah in supplication
508302;508003;REL_IRE_IND_3_2;Ability to apply the virtues of the prophets in day-to-day life
508401;508004;REL_IRE_IND_4_1;Ability to perform swalah while adhering to all its rules
508501;508005;REL_IRE_IND_5_1;Ability to assess the significance of kindness to Allah's creatures and Islamic code of dressing and uphold positive use of media
508502;508005;REL_IRE_IND_5_2;Ability to describe the evils of begging
508601;508006;REL_IRE_IND_6_1;Ability to uphold obligations to family members
508701;508007;REL_IRE_IND_7_1;Ability to describe the events of Prophet's mission in Makkah
509101;509001;REL_HIN_IND_1_1;Ability to state water bodies that are considered sacred as mentioned in the Scriptures
509102;509001;REL_HIN_IND_1_2;Ability to identify the role of water in our daily lives
509103;509001;REL_HIN_IND_1_3;Ability to specify the names of plants that are considered sacred in each faith
509201;509002;REL_HIN_IND_2_1;Ability to identify the contributions of Enlightened Beings
509202;509002;REL_HIN_IND_2_2;Ability to implement teachings of Enlightened Beings
509301;509003;REL_HIN_IND_3_1;Ability to explain the lessons learnt from the Scriptures
509302;509003;REL_HIN_IND_3_2;Ability to apply the teachings of the Scriptures
509401;509004;REL_HIN_IND_4_1;Ability to recite prayers
509402;509004;REL_HIN_IND_4_2;Ability to identify prayers performed for different occasions
509501;509005;REL_HIN_IND_5_1;Ability to state the importance of integrity in their daily lives
509502;509005;REL_HIN_IND_5_2;Ability to identify elements of integrity among peers and in society
509503;509005;REL_HIN_IND_5_3;Ability to state all ideal practices of a passenger during boarding and alighting for safety
509601;509006;REL_HIN_IND_6_1;Ability to name the types of Pranayam
509602;509006;REL_HIN_IND_6_2;Ability to display simple body postures
509701;509007;REL_HIN_IND_7_1;Ability to identify Principles of Dharma according to Sanatan/Vedic
509801;509008;REL_HIN_IND_8_1;Ability to identify the rites and rituals during the celebration of different festivals
509802;509008;REL_HIN_IND_8_2;Ability to relate the days of the week with the corresponding planets
510101;510001;CRE_ARTS_IND_1_1;Ability to create and/or execute various Creative Arts tasks such as rhythmic patterns, drawings, paintings, Netball skills, montages, clay modelling, and simple melodies.
510201;510002;CRE_ARTS_IND_2_1;Ability to perform and/or display Creative Arts skills such as recorder melodies, photography techniques, athletic techniques, various songs, and aquatic or animal-based games.
510301;510003;CRE_ARTS_IND_3_1;Ability to display, critique, participate in, or analyse various Creative Arts items such as drawings, paintings, photographs, Kenyan folk arts, sports activities, and cultural expressions.
512101;512001;SOC_STUD_IND_1_1;Ability to use the four cardinal points to give direction of places.
512102;512001;SOC_STUD_IND_1_2;Ability to identify the main physical features in the county.
